date,close,btc_return,regime,exposure,position_held,strategy_return,equity_strategy,equity_buy_hold
2025-09-24,112022.16587861195,-0.005985755510039215,RANGE_BOUND,0.4,0.4,-0.0029943022040156858,10439.132210116853,10697.02854973483
2025-09-25,113320.56908541008,0.011590591885226376,RANGE_BOUND,0.4,0.4,0.004636236754090551,10487.530498550208,10821.013442039422
2025-09-26,108963.53013595635,-0.038448791641434665,RISK_OFF,0.2,0.4,-0.015379516656573868,10326.23734856143,10404.958550857284
2025-09-27,109710.20874667744,0.0068525552521054856,RISK_OFF,0.2,0.2,0.0011705110504210971,10338.324323487192,10476.2591042229
2025-09-28,109654.81021075726,-0.0005049533361849434,RISK_OFF,0.2,0.2,-0.00010099066723698869,10337.28024921565,10470.969082237485
2025-09-29,112142.57362752674,0.022687225594463012,RISK_OFF,0.2,0.2,0.0045374451188926026,10384.18509102508,10708.526319998855
2025-09-30,114309.15041119447,0.019319841819074535,RANGE_BOUND,0.4,0.2,0.003863968363814907,10424.309253700798,10915.413354616627
2025-10-01,114024.22783550054,-0.002492561397482218,RANGE_BOUND,0.4,0.4,-0.0011970245589928874,10411.831099513582,10888.20601665135
2025-10-02,118503.24451752483,0.03928127177047003,RISK_ON,1.0,0.4,0.015712508708188012,10575.427086332871,11315.908596284298
2025-10-03,120611.71911591051,0.01779254742745784,RISK_ON,1.0,1.0,0.01719254742745784,10757.245618080273,11517.247436668466
2025-10-04,122250.15186842803,0.013584357842897132,RISK_ON,1.0,1.0,0.013584357842897132,10903.375891960211,11673.70184721336
2025-10-05,122380.93708463266,0.0010698163904563351,RISK_ON,1.0,1.0,0.0010698163904563351,10915.040502200736,11686.19056478681
2025-10-06,123506.18520027678,0.009194635557218778,RISK_ON,1.0,1.0,0.009194635557218778,11015.400321710755,11793.640828082232
2025-10-07,124773.50823074432,0.010261211034997553,RISK_ON,1.0,1.0,0.010261211034997553,11128.43166904681,11914.657865490148
2025-10-08,121518.75593575071,-0.026085283175452445,RISK_ON,1.0,1.0,-0.026085283175452445,10838.143377661052,11603.860641130206
2025-10-09,123352.50487523204,0.015090254383865354,RISK_ON,1.0,1.0,0.015090254383865354,11001.693718278762,11778.965850039784
2025-10-10,121698.03066778315,-0.013412570819882008,RISK_ON,1.0,1.0,-0.013412570819882008,10854.132722143697,11620.979636391154
2025-10-11,113201.74064138904,-0.06981452353643813,RANGE_BOUND,0.4,1.0,-0.06981452353643813,10096.356617745972,10809.666480049855
2025-10-12,110853.11663883903,-0.02074724283604612,RISK_OFF,0.2,0.4,-0.008898897134418448,10006.510178772245,10585.395704611594
2025-10-13,115189.5714637257,0.03911892562312791,RISK_OFF,0.2,0.2,0.0076237851246255825,10082.797662222585,10999.485011871673
2025-10-14,115222.28302116522,0.000283980199108802,RISK_OFF,0.2,0.2,5.679603982176041e-05,10083.370325200123,11002.608647815438
2025-10-15,113156.56943826913,-0.01792807370876892,RISK_OFF,0.2,0.2,-0.0035856147417537843,10047.215243915522,10805.353068988663
2025-10-16,110708.66960879423,-0.02163285650693325,RISK_OFF,0.2,0.2,-0.00432657130138665,10003.745250782342,10571.60241654048
2025-10-17,108076.72862033188,-0.023773576159506815,RISK_OFF,0.2,0.2,-0.004754715231901363,9956.180290862385,10320.277621362828
2025-10-18,106443.61194984635,-0.015110715242155237,RISK_OFF,0.2,0.2,-0.0030221430484310475,9926.09128980743,10164.330845006427
2025-10-19,107156.00337647724,0.0066926649103804525,RISK_OFF,0.2,0.2,0.0013385329820760905,9939.377690381936,10232.357305390298
2025-10-20,108621.134857428,0.013672882851026413,RISK_OFF,0.2,0.2,0.002734576570205283,9966.557679736476,10372.263128116743
2025-10-21,110608.5714932665,0.01829696070149822,RISK_OFF,0.2,0.2,0.0036593921402996443,10003.029222575546,10562.044018957495
2025-10-22,108486.10262716639,-0.019189008929830775,RISK_OFF,0.2,0.2,-0.003837801785966155,9964.639579160073,10359.368861960455
2025-10-23,107618.4266715404,-0.007998037855668327,RISK_OFF,0.2,0.2,-0.0015996075711336656,9948.700066245632,10276.514237641662
2025-10-24,110048.51827291629,0.02258062746812617,RISK_OFF,0.2,0.2,0.004516125493625234,9993.629644243234,10508.564377312743
2025-10-25,110997.80437129698,0.008626068876515847,RISK_OFF,0.2,0.2,0.0017252137753031695,10010.870791770763,10599.211977424746
2025-10-26,111620.3093731354,0.005608264103640126,RANGE_BOUND,0.4,0.2,0.0011216528207280251,10022.099513232297,10658.655157484609
2025-10-27,114476.01227508577,0.025584079796840964,RANGE_BOUND,0.4,0.4,0.010033631918736385,10122.657570801017,10931.347041560706
2025-10-28,114182.79442806762,-0.0025613911699994274,RISK_OFF,0.2,0.4,-0.001024556467999771,10112.286336513505,10903.347585772253
2025-10-29,112950.34863259472,-0.010793620892237898,RANGE_BOUND,0.4,0.2,-0.00235872417844758,10088.434242232184,10785.660985475131
2025-10-30,110046.66925837283,-0.025707573366302583,RISK_OFF,0.2,0.4,-0.010483029346521034,9982.676890010418,10508.38781438696
2025-10-31,108240.76528725718,-0.01641034647650863,RISK_OFF,0.2,0.2,-0.003482069295301726,9947.916517326794,10335.941529443351
2025-11-01,109573.90555629115,0.012316434251882669,RANGE_BOUND,0.4,0.2,0.002463286850376534,9972.421089272568,10463.243473722043
2025-11-02,110014.13556776087,0.004017653740046256,RANGE_BOUND,0.4,0.4,0.0014070614960185026,9986.452899009366,10505.281162997258
2025-11-03,110650.2092823146,0.005781745330007526,RANGE_BOUND,0.4,0.4,0.0023126981320030107,10009.54854997424,10566.020023301831
2025-11-04,106521.08673825761,-0.03731689773420921,RISK_OFF,0.2,0.4,-0.014926759093683684,9860.138430132245,10171.728934634672
2025-11-05,101635.2740227234,-0.04586709416079815,RISK_OFF,0.2,0.2,-0.00937341883215963,9767.715222883542,9705.181285811668
2025-11-06,103877.95965955159,0.022066016532082955,RISK_OFF,0.2,0.2,0.004413203306416591,9810.822136001309,9919.335976511251
2025-11-07,101322.6402945857,-0.024599244857529623,RISK_OFF,0.2,0.2,-0.004919848971505925,9762.554372805875,9675.327802000947
2025-11-08,103396.084215925,0.020463777052305065,RISK_OFF,0.2,0.2,0.004092755410461013,9802.510120035096,9873.321553049065
2025-11-09,102290.13714655167,-0.010696218118509737,RISK_OFF,0.2,0.2,-0.0021392436237019476,9781.540162764537,9767.71435216347
2025-11-10,104709.67861656273,0.023653712249349867,RISK_OFF,0.2,0.2,0.004730742449869974,9827.814110037634,9998.757056783388
2025-11-11,105909.07272321742,0.01145447223696272,RISK_OFF,0.2,0.2,0.0022908944473925444,9850.328594812325,10113.28754189445
2025-11-12,102960.77564500563,-0.027838002943495366,RISK_OFF,0.2,0.2,-0.005567600588699074,9795.485899528969,9831.753813534777
2025-11-13,101521.70859453593,-0.01397684741062366,RISK_OFF,0.2,0.2,-0.0027953694821247323,9768.103897182842,9694.336890704182
2025-11-14,99730.4533956204,-0.017644060799543504,RISK_OFF,0.2,0.2,-0.003528812159908701,9733.63409337121,9523.28942119334
2025-11-15,94456.39368235337,-0.05288314184580489,RISK_OFF,0.2,0.2,-0.010576628369160979,9630.68506288423,9019.66795589372
2025-11-16,95508.31019889197,0.011136530578079062,RISK_OFF,0.2,0.2,0.0022273061156158126,9652.13554662236,9120.11576388865
2025-11-17,94411.32947182967,-0.011485709722828141,RISK_OFF,0.2,0.2,-0.0022971419445656283,9629.963221203581,9015.364761586035
2025-11-18,92036.7255045672,-0.025151684448750267,CAPITULATION,0.1,0.2,-0.005030336889750054,9581.521261965025,8788.613151912241
2025-11-19,92819.75921500899,0.00850783973624658,RISK_OFF,0.2,0.1,0.0007507839736246581,9588.714914571452,8863.38526411258
2025-11-20,91363.27838693369,-0.015691495435810054,CAPITULATION,0.1,0.2,-0.0032382990871620107,9557.66378781654,8724.305494694932
2025-11-21,86649.97257918229,-0.05158862390850316,CAPITULATION,0.1,0.1,-0.005258862390850317,9507.401349178399,8274.230579666228
2025-11-22,85051.8019295002,-0.018443983328692348,RISK_OFF,0.2,0.1,-0.001844398332869235,9489.865913980057,8121.620808797107
2025-11-23,84682.62429147748,-0.004340621005640033,CAPITULATION,0.1,0.2,-0.0009681242011280067,9480.678545123274,8086.3679309146
2025-11-24,86783.84766839583,0.024812922302525076,RISK_OFF,0.2,0.1,0.0023812922302525077,9503.254811280296,8287.014350094014
2025-11-25,88229.35740719768,0.016656437547286407,RISK_OFF,0.2,0.2,0.0032312875094572817,9533.962559851178,8425.046487069822
2025-11-26,87310.33159950442,-0.010416326659297148,RISK_OFF,0.2,0.2,-0.0020832653318594296,9514.100786174993,8337.288450740738
2025-11-27,90474.22677969698,0.03623735155085028,RISK_OFF,0.2,0.2,0.007247470310170057,9583.053949150762,8639.409703311076
2025-11-28,91279.06057176423,0.008895724458933607,RISK_OFF,0.2,0.2,0.0017791448917867216,9600.10359063211,8716.263511519568
2025-11-29,90950.37695910994,-0.0036008654185905042,RISK_OFF,0.2,0.2,-0.0007201730837181009,9593.189854425233,8684.877419661614
2025-11-30,90841.45258193677,-0.0011976242519824432,RISK_OFF,0.2,0.2,-0.00023952485039648865,9590.892047060526,8674.476199838333
2025-12-01,90406.28448571145,-0.00479041322938778,RISK_OFF,0.2,0.2,-0.000958082645877556,9581.703179831751,8632.921874292617
2025-12-02,86281.49519776918,-0.04562502829760895,RISK_OFF,0.2,0.2,-0.00912500565952179,9494.27008408793,8239.04456948697
2025-12-03,91344.73275150165,0.058682774818943795,RISK_OFF,0.2,0.2,0.01173655496378876,9605.70010677088,8722.534566681416
2025-12-04,93619.43750817103,0.024902418433448092,RANGE_BOUND,0.4,0.2,0.004980483686689619,9653.541139451885,8939.74677226113
2025-12-05,92140.70419795791,-0.015795152690209924,RANGE_BOUND,0.4,0.4,-0.006518061076083969,9590.61876870445,8798.542106981455
2025-12-06,89307.09154512963,-0.03075310393483055,RANGE_BOUND,0.4,0.4,-0.01230124157393222,9472.642250387127,8527.95962709047
2025-12-07,89244.7620814118,-0.00069792289323789,RANGE_BOUND,0.4,0.4,-0.000279169157295156,9469.997780832728,8522.007768834115
2025-12-08,90162.90714007126,0.010287943373325392,RANGE_BOUND,0.4,0.4,0.004115177349330157,9508.968501198618,8609.68170218692
2025-12-09,90618.0535204608,0.005048044643042093,RANGE_BOUND,0.4,0.4,0.0020192178572168372,9528.169180199951,8653.143759781942
2025-12-10,92723.21372069631,0.023231134618888927,RANGE_BOUND,0.4,0.4,0.009292453847555572,9616.709252558661,8854.166107342035
2025-12-11,92005.13714957413,-0.007744302017887228,RANGE_BOUND,0.4,0.4,-0.0030977208071548915,9586.919372210652,8785.596770890235
2025-12-12,92494.17691640415,0.005315352837689691,RANGE_BOUND,0.4,0.4,0.0021261411350758765,9607.302515846564,8832.295317617185
2025-12-13,90307.26028567803,-0.02364383038623763,RANGE_BOUND,0.4,0.4,-0.009457532154495053,9516.441143384985,8623.466025206284
2025-12-14,90257.4292885891,-0.0005517939192406507,RANGE_BOUND,0.4,0.4,-0.00022071756769626028,9514.340697642692,8618.707649090797
2025-12-15,88230.77409367911,-0.022454164835893686,RISK_OFF,0.2,0.4,-0.008981665934357475,9428.886067910804,8425.181766865733
2025-12-16,86413.9190195637,-0.020592079042470512,RISK_OFF,0.2,0.2,-0.004318415808494102,9388.16821725865,8251.689757975253
2025-12-17,87821.88919109134,0.016293326208349335,RISK_OFF,0.2,0.2,0.0032586652416698673,9418.76111471118,8386.13723097204
2025-12-18,86064.94716216,-0.020005741679143596,RISK_OFF,0.2,0.2,-0.004001148335828719,9381.075254351485,8218.366335843364
2025-12-19,85450.3312009302,-0.007141304113877589,RISK_OFF,0.2,0.2,-0.0014282608227755178,9367.676632090186,8159.676482519853
2025-12-20,88103.86075721023,0.03105347304085293,RISK_OFF,0.2,0.2,0.006210694608170586,9425.856410840195,8413.062776191866
2025-12-21,88347.94310567998,0.002770393333186183,RISK_OFF,0.2,0.2,0.0005540786666372366,9431.079076792226,8436.370269218703
2025-12-22,88577.42038358838,0.0025974263784942497,RISK_OFF,0.2,0.2,0.00051948527569885,9435.978383506572,8458.283119894717
2025-12-23,88491.12020788102,-0.0009742909122171239,RISK_OFF,0.2,0.2,-0.0001948581824434248,9434.139705909185,8450.042291518044
2025-12-24,87406.43636737975,-0.012257544462689118,RISK_OFF,0.2,0.2,-0.002451508892537824,9411.011828526705,8346.465522418159
2025-12-25,87642.60888119951,0.0027020036925782254,RISK_OFF,0.2,0.2,0.0005404007385156451,9416.09754626902,8369.01770307971
2025-12-26,87229.78066010943,-0.004710359793712593,RANGE_BOUND,0.4,0.2,-0.0009420719587425186,9407.226904809897,8329.596618578253
2025-12-27,87305.95655961394,0.000873278585914683,RANGE_BOUND,0.4,0.4,0.00014931143436587322,9408.631511352458,8336.870676934564
2025-12-28,87807.003210775,0.0057389744171572055,RANGE_BOUND,0.4,0.4,0.0022955897668628824,9430.229869570103,8384.71576446864
2025-12-29,87822.90829076794,0.0001811368047119899,RANGE_BOUND,0.4,0.4,7.245472188479597e-05,9430.913134252613,8386.234545090634
2025-12-30,87156.56266080117,-0.00758737831546874,RANGE_BOUND,0.4,0.4,-0.0030349513261874964,9402.290771928654,8322.60501095478
2025-12-31,88414.62856073362,0.01443455158768292,RANGE_BOUND,0.4,0.4,0.005773820635073168,9456.577912404575,8442.738082329313
2026-01-01,87520.18048742875,-0.010116516778560625,RANGE_BOUND,0.4,0.4,-0.00404660671142425,9418.310860757132,8357.326980862437
2026-01-02,88727.67004249741,0.013796698639602312,RISK_ON,1.0,0.4,0.005518679455840925,9470.287499413114,8472.630502650014
2026-01-03,89926.27924953419,0.0135088547514286,RISK_ON,1.0,1.0,0.0129088547514286,9592.538065197308,8587.086037472836
2026-01-04,90593.85443180417,0.007423582826300956,RISK_ON,1.0,1.0,0.007423582826300956,9663.749066038747,8650.832981908588
